"","connection","line"
"1","008812005/20160727/IC4520","25"
"2","8831765/20160728/IC1532","21"
"3","8831765/20160727/IC1532","36"
"4","008819406/20160728/IC3628","36"
"5","008892007/20160728/IC1507","50"
"6","008812211/20160728/S102080","0"
"7","8892007/20160728/IC508","50"
"8","8892007/20160728/IC508","50"
"9","8814001/20160728/ICT6802","50"
"10","8814001/20160728/ICT6802","50"
"11","8892007/20160728/IC508","50"
"12","8892007/20160728/IC2808","50"
"13","8892007/20160728/IC3608","50"
"14","8892007/20160728/IC2808","50"
"15","8821006/20160728/IC3131","25"
"16","8821006/20160728/THA9322","25"
"17","8892007/20160728/P7009","50"
"18","8892007/20160728/P7009","50"
"19","8891140/20160728/L564","50A"
"20","8821006/20160728/IC9240","25"
"21","8821006/20160728/IC9240","25"
"22","8821006/20160728/IC9240","25"
"23","8821006/20160728/IC9240","25"
"24","8813003/20160728/IC1538","50"
"25","008833001/20160728/IC1739","36"
"26","8813003/20160728/IC540","50"
"27","8894201/20160728/IC719","59"
"28","8812005/20160728/IC1518","36"
"29","8813003/20160728/IC515","36"
"30","8892007/20160728/L591","50A"
"31","8812005/20160728/IC1518","36"
"32","8812005/20160728/IC1518","36"
"33","8812005/20160728/IC1518","36"
"34","8812005/20160728/IC1518","36"
"35","8833001/20160728/IC1518","36"
"36","8812005/20160728/IC1518","36"
"37","8813003/20160728/IC442","50"
"38","008813003/20160728/IC543","50"
"39","008891140/20160728/L592","50A"
"40","8812005/20160728/IC1518","36"
"41","8813003/20160728/IC543","50"
"42","8812005/20160728/IC1518","36"
"43","8812005/20160728/IC1518","36"
"44","8812005/20160728/IC1518","36"
"45","8812005/20160728/IC1518","36"
"46","008891140/20160729/IC2832","50A"
"47","008891009/20160729/L582","51"
"48","008891033/20160729/L582","51"
"49","008891629/20160729/L582","51"
"50","8812005/20160728/IC1518","36"
"51","008891173/20160729/L563","51"
"52","008891629/20160729/L563","51"
"53","008891033/20160729/L563","51"
"54","008812211/20160729/S42183","50"
"55","008812047/20160729/IC3235","0"
"56","008891009/20160729/IC2813","50A"
"57","008812211/20160729/S102089","0"
"58","8892007/20160730/IC3631","73"
"59","8892007/20160730/IC509","50"
"60","8892007/20160730/IC1509","50"
"61","008811189/20160730/IC3336","25"
"62","008811189/20160730/IC3114","25"
"63","008822004/20160730/IC3114","25"
"64","008822343/20160730/IC3114","25"
"65","008821238/20160730/IC3114","25"
"66","008821121/20160730/IC4236","15"
"67","008821600/20160730/IC4236","15"
"68","8812005/20160728/IC1518","36"
"69","8812005/20160728/IC1518","36"
"70","8891009/20160731/IC2318","50A"
"71","008821907/20160731/IC4220","29"
"72","008821717/20160731/IC4420","15"
"73","008832409/20160731/IC4420","15"
"74","008891140/20160801/IC2814","50A"
"75","008892007/20160801/IC736","59"
"76","008893120/20160801/IC736","59"
"77","008894201/20160801/IC736","59"
"78","008831005/20160802/IC2231","35"
"79","8892007/20160802/IC508","50"
"80","008812005/20160802/IC2231","0"
"81","008833209/20160802/IC2231","36"
"82","008831401/20160802/IC2231","35"
"83","008814001/20160802/IC2831","50"
"84","008894508/20160802/IC710","59"
"85","008894201/20160802/IC710","59"
"86","008893120/20160802/IC710","59"
"87","008892007/20160802/IC532","50A"
"88","8892007/20160802/IC1506","50"
"89","8831005/20160802/IC2230","35"
"90","008892007/20160802/IC736","59"
"91","008893120/20160802/IC736","59"
"92","008894201/20160802/IC736","59"
"93","8821006/20160802/IC1837","59"
"94","008894508/20160802/IC736","59"
"95","008821121/20160802/IC736","4"
"96","008821006/20160802/IC4237","4"
"97","008821121/20160802/IC4237","15"
"98","008821600/20160802/IC4237","15"
"99","008821964/20160802/IC4237","29"
"100","8821907/20160802/IC4216","27"
"101","8821907/20160802/IC4216","27"
"102","8831765/20160803/IC1537","36"
"103","008821907/20160804/IC4209","29"
"104","008821964/20160804/IC4209","29"
"105","008821717/20160804/IC4209","15"
"106","008821600/20160804/IC4209","15"
"107","008821196/20160804/IC1831","59"
"108","008894508/20160804/IC1831","59"
"109","008894201/20160804/IC1831","59"
"110","008893120/20160804/IC1831","59"
"111","008892007/20160804/IC1831","50A"
"112","008891009/20160804/IC1831","50A"
"113","008891702/20160804/IC512","50A"
"114","008892007/20160804/IC512","50"
"115","008814001/20160804/IC512","0"
"116","008812005/20160804/IC512","36"
"117","8812070/20160804/S103857","60"
"118","008833001/20160804/IC512","36"
"119","008841004/20160804/IC538","36"
"120","008833001/20160804/IC2937","35"
"121","008833233/20160804/IC2937","35"
"122","008833209/20160804/IC2937","16"
"123","8892007/20160804/IC3605","50"
"124","008821832/20160804/IC2937","16"
"125","008821600/20160804/IC2937","15"
"126","008821600/20160804/IC3415","15"
"127","008821717/20160804/IC3415","29"
"128","008821964/20160804/IC3415","29"
"129","8833001/20160805/L2461","35"
"130","8832250/20160807/IC4433","15"
