"","station","name","longitude","latitude","avg_stop_times","prov","count","groups","k","maxcount","maj_groups","major_hub","non_hub"
"1","008895000","Aalst",4.039653,50.942813,88.263005780347,"Oost-Vlaanderen",100,"1","k = 11",152,"1","0","0"
"2","008895125","Aalst-Kerrebroek",4.024407,50.948377,7.2976878612717,"Oost-Vlaanderen",1,"1","k = 11",152,"2","0","1"
"3","008891140","Aalter",3.447848,51.092295,78.488439306358,"Oost-Vlaanderen",91,"2","k = 11",343,"1","0","0"
"4","008833209","Aarschot",4.824043,50.984406,123.80057803468,"Vlaams Brabant",110,"3","k = 11",300,"1","0","0"
"5","008892288","Aarsele",3.418363,50.98446,2.4768786127168,"West-Vlaanderen",6,"2","k = 11",343,"2","0","1"
"6","008886546","Acren",3.847086,50.733095,27.14161849711,"Hainaut",7,"1","k = 11",152,"2","0","1"
"7","008874583","Aiseau",4.584552,50.429529,16.473988439306,"Hainaut",7,"4","k = 11",114,"2","0","1"
"8","008831039","Alken",5.292866,50.886837,37.953757225434,"Limburg",42,"5","k = 11",132,"3","0","0"
"9","008843331","Amay",5.32049,50.546011,21.653179190751,"Liège",1,"6","k = 11",119,"2","0","1"
"10","008843323","Ampsin",5.289729,50.539215,21.653179190751,"Liège",1,"6","k = 11",119,"2","0","1"
"11","008863404","Andenne",5.094699,50.496759,55.043352601156,"Namur",21,"4","k = 11",114,"4","0","0"
"12","008842002","Angleur",5.599695,50.613152,87.130057803468,"Liège",28,"6","k = 11",119,"4","0","0"
"13","008841202","Ans",5.509704,50.661208,53.239884393064,"Liège",35,"6","k = 11",119,"3","0","0"
"14","008885522","Antoing",3.451309,50.569626,31.725433526012,"Hainaut",7,"7","k = 11",63,"2","0","1"
"15","008821121","Antwerpen-Berchem",4.432221,51.19923,421.64450867052,"Antwerpen",322,"8","k = 11",334,"5","1","0"
"16","008821006","Antwerpen-Centraal",4.421101,51.2172,467.98265895954,"Antwerpen",334,"8","k = 11",334,"5","1","0"
